external_id,title,short_title,description,category,tags,start_datetime,end_datetime,venue_title,venue_address,venue_lat,venue_lon,price_min,price_raw,is_free,age_restriction,image_url,site_url,source,parsed_at
,Съёмки «Абушоу» | 16:00,Съёмки «Абушоу» | 16:00,"Купить билеты на Съёмки «Абушоу» | 16:00 в городе Санкт-Петербург, ул. Восстания 24/27Б. Начало 12 июля 2026, цена — 3500₽.",stand-up,,12 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 12 июля 2026 в 16:00 Зав,,,900,от 900 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/semki-abushou-1600-316852/og.png,https://kaverafisha.ru/saint-petersburg/events/semki-abushou-1600-316852,kaver,2026-07-12 00:20:22
,Съёмки «Абушоу» | 18:30,Съёмки «Абушоу» | 18:30,"Купить билеты на Съёмки «Абушоу» | 18:30 в городе Санкт-Петербург, ул. Восстания 24/27Б. Начало 12 июля 2026, цена — 3500₽.",stand-up,,12 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 12 июля 2026 в 18:30 Зав,,,900,от 900 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/semki-abushou-1830-316853/og.png,https://kaverafisha.ru/saint-petersburg/events/semki-abushou-1830-316853,kaver,2026-07-12 00:20:24
,Стендап вечер,Стендап вечер,"Купить билеты на Стендап вечер в городе Санкт-Петербург, Литейный просп., 17-19. Начало 12 июля 2026, цена — 600₽.",stand-up,,12 июля 2026,,Homie,,,,900,от 900 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/stendap-vecher-295851/og.png,https://kaverafisha.ru/saint-petersburg/events/stendap-vecher-295851,kaver,2026-07-12 00:20:27
,Грязный стендап,Грязный стендап,"Купить билеты на Грязный стендап в городе Санкт-Петербург, ул. Восстания 24/27Б. Начало 11 июля 2026, цена — от 900₽ до 1100₽.",stand-up,,11 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 11 июля 2026 в 23:00 Зав,,,900,от 900 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/gryaznyy-stendap-314172/og.png,https://kaverafisha.ru/saint-petersburg/events/gryaznyy-stendap-314172,kaver,2026-07-12 00:20:29
,Фестиваль электронной хаус музыки,Фестиваль электронной хаус музыки,"Купить билеты на Фестиваль электронной хаус музыки в городе Санкт-Петербург, Savana, Приморский проспект, 72. Начало 11 июля 2026, цена — от 1500₽ до 4500₽.",stand-up,,11 июля 2026,,,,,,1500,от 1500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/open-air-272733/og.png,https://kaverafisha.ru/saint-petersburg/events/open-air-272733,kaver,2026-07-12 00:20:31
,Стендап по-женски,Стендап по-женски,"Купить билеты на Стендап по-женски в городе Санкт-Петербург, Большая Конюшенная ул., 2. Начало 1 июля 2026, цена — от 590₽ до 1990₽.",stand-up,,1 июля 2026,,Сплетни бар by Anna Asti,,,,590,от 590 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/zhenskiyy-stendap-v-bare-spletni-255937/og.png,https://kaverafisha.ru/saint-petersburg/events/zhenskiyy-stendap-v-bare-spletni-255937,kaver,2026-07-12 00:20:33
,Элитный Стендап,Элитный Стендап,"Купить билеты на Элитный Стендап в городе Санкт-Петербург, Евгенич, улица Рубинштейна, 9/3литА. Начало 10 июля 2026, цена — от 600₽ до 700₽.",stand-up,,10 июля 2026,,,"улица Рубинштейна, 9/",,,600,от 600 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/elitnyy-stand-up-261391/og.png,https://kaverafisha.ru/saint-petersburg/events/elitnyy-stand-up-261391,kaver,2026-07-12 00:20:35
,Элитный стендап,Элитный стендап,"Купить билеты на Элитный стендап в городе Санкт-Петербург, Groodki, Невский проспект, 96. Начало 11 июля 2026, цена — от 400₽ до 900₽.",stand-up,,11 июля 2026,,,,,,400,от 400 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/elitnyy-stendap-313746/og.png,https://kaverafisha.ru/saint-petersburg/events/elitnyy-stendap-313746,kaver,2026-07-12 00:20:39
,Стендап проверка на троих,Стендап проверка на троих,"Купить билеты на Стендап проверка на троих в городе Санкт-Петербург, ул. Восстания 24/27Б. Начало 13 июля 2026, цена — 300₽.",stand-up,,13 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 13 июля 2026 в 21:30 Зав,,,900,от 900 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/stendap-proverka-na-troih-316315/og.png,https://kaverafisha.ru/saint-petersburg/events/stendap-proverka-na-troih-316315,kaver,2026-07-12 00:20:44
,Юля Чеснокова,Юля Чеснокова,"Купить билеты на Юля Чеснокова в городе Санкт-Петербург, ул. Восстания 24/27Б. Начало 14 июля 2026, цена — от 500₽ до 700₽.",stand-up,,14 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 14 июля 2026 в 20:00 Зав,,,500,от 500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/zhenskiyy-stendap-vecher-yulya-chesnokova-273234/og.png,https://kaverafisha.ru/saint-petersburg/events/zhenskiyy-stendap-vecher-yulya-chesnokova-273234,kaver,2026-07-12 00:20:46
