external_id,title,short_title,description,category,tags,benefits,start_datetime,end_datetime,venue_title,venue_address,venue_lat,venue_lon,price_min,price_raw,is_free,age_restriction,image_url,site_url,source,parsed_at
,Илья Соболев. Послесъёмочный концерт,Илья Соболев. Послесъёмочный концерт,"Кавёр — дейтинг-сервис с афишей необычных событий

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-21 19:00,,Stage StandUp Club,ул. Восстания 24/27Б,,,800,от 800 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2026/04/24/__35e50a24f250e3aacc3ba6e5444e6354.webp,https://kaverafisha.ru/saint-petersburg/events/ilya-sobolev-predsemochnyy-kontsert-314429,kaver,2026-07-21 17:16:53
,Большой стендап,Большой стендап,"Кавёр — дейтинг-сервис с афишей необычных событий

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-21 21:00,,Stage StandUp Club,ул. Восстания 24/27Б,,,800,от 800 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2026/04/09/__63ca7045d232980ed07895be9d19122d.webp,https://kaverafisha.ru/saint-petersburg/events/bolshoyy-stendap-314503,kaver,2026-07-21 17:16:55
,Стендап по-женски,Стендап по-женски,"Кавёр — дейтинг-сервис с афишей необычных событий

Первый раз сходила на стендап шоу и мне безумно понравилось! Девушки молодчинки и локация крутая 🌸🌸🌸

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-01 19:30,,Сплетни бар by Anna Asti,"Большая Конюшенная ул., 2",,,590,от 590 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2026/06/30/__8dc0b9e03cd887b8001a996c88147009.webp,https://kaverafisha.ru/saint-petersburg/events/zhenskiyy-stendap-v-bare-spletni-255937,kaver,2026-07-21 17:16:57
,Элитный Стендап,Элитный Стендап,"Кавёр — дейтинг-сервис с афишей необычных событий

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-10 19:15,,,"Евгенич, улица Рубинштейна, 9/3литА",,,600,от 600 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2026/01/31/__c71ad8dcb51f363d35466fa20b2c1dba.webp,https://kaverafisha.ru/saint-petersburg/events/elitnyy-stand-up-261391,kaver,2026-07-21 17:17:00
,Элитный стендап,Элитный стендап,"Кавёр — дейтинг-сервис с афишей необычных событий

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-11 18:00,,,"Groodki, Невский проспект, 96",,,400,от 400 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2026/04/10/__dc9ffbb94c15a5d746205fcf6ea5695a.webp,https://kaverafisha.ru/saint-petersburg/events/elitnyy-stendap-313746,kaver,2026-07-21 17:17:04
,Влад Васильев,Влад Васильев,"Кавёр — дейтинг-сервис с афишей необычных событий

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-22 21:30,,Stage StandUp Club,ул. Восстания 24/27Б,,,800,от 800 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2026/03/11/__ff9524f62bef849bf8973a1daddfc910.webp,https://kaverafisha.ru/saint-petersburg/events/vlad-vasilev-proverochnyy-stendap-kontsert-312371,kaver,2026-07-21 17:17:09
,Алексей Жаров | 19:00,Алексей Жаров | 19:00,"Кавёр — дейтинг-сервис с афишей необычных событий

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-23 19:00,,Stage StandUp Club,ул. Восстания 24/27Б,,,2000,от 2000 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2026/05/28/__87ba977081a77a03834134bf6b9a79e5.webp,https://kaverafisha.ru/saint-petersburg/events/zharov-alekseyy-315873,kaver,2026-07-21 17:17:11
,Восемь комиков,Восемь комиков,"Кавёр — дейтинг-сервис с афишей необычных событий

Была на похожем мероприятии, было классно!

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-23 20:00,,Stage StandUp Club,ул. Восстания 24/27Б,,,800,от 800 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2025/12/10/__9c8e930d73cb54a361850347de3748db.webp,https://kaverafisha.ru/saint-petersburg/events/vosem-komikov-250413,kaver,2026-07-21 17:17:14
,Алексей Жаров | 21:30,Алексей Жаров | 21:30,"Кавёр — дейтинг-сервис с афишей необычных событий

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-23 21:30,,Stage StandUp Club,ул. Восстания 24/27Б,,,2000,от 2000 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2026/07/14/__caaf49b7974b93f17938ac0401591fe8.webp,https://kaverafisha.ru/saint-petersburg/events/alekseyy-zharov-316316,kaver,2026-07-21 17:17:16
,Коля Андреев / Сева Ловкачёв,Коля Андреев / Сева Ловкачёв,"Кавёр — дейтинг-сервис с афишей необычных событий

В приложении твоя персональная подборка, избранное и поиск компании на любое мероприятие

Нажимая кнопку «Подписаться», вы соглашаетесь cправилами",stand-up,,,2026-07-24 19:00,,Stage StandUp Club,ул. Восстания 24/27Б,,,1700,от 1700 ₽,False,18+,https://fileshare.kaverafisha.ru/storage/origin/2025/12/17/__8fddd44e583a43c6839fd47c6ad2b9a5.webp,https://kaverafisha.ru/saint-petersburg/events/kolya-andreev-stendap-kontsert-243586,kaver,2026-07-21 17:17:18
