external_id,title,short_title,description,category,tags,benefits,start_datetime,end_datetime,venue_title,venue_address,venue_lat,venue_lon,price_min,price_raw,is_free,age_restriction,image_url,site_url,source,parsed_at
tp_4058544,Иммерсивное шоу «Белые ночи Петербурга»,Иммерсивное шоу «Белые ночи Петербурга»,"�️ В час, когда город замирает перед разводкой мостов, начинается наше представление…
Белые ночи открыли свои объятия — и мы приглашаем вас в самое сердце этой мистической атмосферы.
Погрузитесь:
• в иммерсивное шоу, где реальность и вымысел переплетаются
• напитки
• в атмосферу, сотканную из легенд и тишины

✨ Иммерсивное шоу «Белые ночи Петербурга»✨
Погрузитесь в мистическую атмосферу города на Неве — там, где реальность сплетается с вымыслом.
Герои Достоевского оживут рядом с вами: вы услышите их шаги на пустынных улицах, почувствуете дыхание эпохи и станете частью великой литературы.
Не спектакль — путешествие сквозь время.",theater,,,2026-07-16 22:00,2026-07-16 23:00,,"Невский пр. 74-76, вход с Невского, в ту же дверь, где Музей Магии. 4й этаж, Санкт-Петербург",,,2000,от 2000 ₽,False,18+,,https://za-narisovannym-ochagom.timepad.ru/event/4058544/,timepad,2026-07-16 21:50:09
tp_4082743,Дневная экскурсия по рекам и каналам,Дневная экскурсия по рекам и каналам,"Вы не видели Санкт-Петербург, если не видели его с воды!!

Дневная экскурсия по рекам и каналам Санкт-Петербурга с компанией ""Нева-Кронверк"" позволит насладиться видами набережных канала Грибоедова, Фонтанки, Крокова канала, реки Мойки.

За один час экскурсовод расскажет Вам об историии города, населяющих его людей и увиденных достопримечательностях: дворцах императоров и их приблеженных, великолепных садах и парках, знаменитых соборах, грандиозных и романтичных. Отправление теплоходов каждый час: 11.00, 12.00, 14.00, 16.00, 18.00, 19.00, 20.00,21.00

Видео, дающее представление о водных прогулках иннаших теплоходах Вы можете посмотреть здесь.",excursion,,,2026-07-16 22:00,2026-07-16 23:00,,"Санкт-Петербурга, набережная реки Фонтанки, д. 121 (пересечение с пер. Бойцова), причал",,,680,от 680 ₽,False,0+,https://ucare.timepad.ru/abc4b550-8e3a-4107-b3ef-f966d5b25733/-/preview/308x600/-/format/jpeg/poster_event_4082743.jpg,https://neva-kronverk.timepad.ru/event/4082743/,timepad,2026-07-16 21:50:09
tp_3921134,Сап-прогулка по историческому Петербургу,Сап-прогулка по историческому Петербургу,"Сап*-прогулки по Санкт-Петербургу - это новый и уникальный способ познакомиться с культурной столицей России. Вместе с опытным инструктором, вы сможете прокатиться на Сап*-доске по Неве и увидеть знаковые достопримечательности города. Начав прогулку на Сап в центре Санкт-Петербурга, вы сможете насладиться красотами Спаса на Крови, увидеть знаменитый Михайловский замок, стену Петропавловской крепости и ещё множество других интересных мест. Сап*-прогулки также позволят вам увидеть такие знаменитости города, как Эрмитаж, Башня Зингера, и сделать великолепные фото на фоне этих зданий. Кроме того, это занятие очень полезно для здоровья и физической подготовки. Не упустите возможность окунуться в атмосферу Санкт-Петербурга, познакомиться с его историей и ощутить прелесть Сап*-прогулок вместе с друзьями или семьей.

*Сап/Сапсёрфинг — водный вид спорта, где участник стоит на доске с веслом.

Что входит в стоимость?

 Инструктаж перед стартом
 Сап-доска, весло, жилет
 Чехол для телефона
 Помощь на протяжении всего маршрута
 Место для переодевания и хранения вещей
 Фото/видео
 Сухой костюм весной/осенью (при бронировании уточните наличие и размер)

Мы рекомендуем приходить на прогулку в удобной одежде по погоде.

С собой возьмите:

 сменный комплект одежды и обуви (кроссовки/сланцы) на случай, если ваша одежда намокнет
 водичку

На время прогулки вещи можно оставить у нас в авто.

Сопровождающий группу вправе перенести прогулку или изменить маршрут!

В случаях:

 изменения городскими властями порядка движения судов по рекам и каналам города
 проведения ремонтных работ на маршруте
 неблагоприятных погодных условий (сильный ветер и волны, гроза и т.д.) для предотвращения или в случае возникновения чрезвычайной ситуации, угрожающей жизни/здоровью участников

За участниками остается право на использование прогулки в другой день, замене на другой маршрут из доступных. 

ВАЖНО: при отмене со стороны организатора, по любой причине, удерживается комиссия сервиса. Она не возвратная.

Каждый участник группы должен слушать инструктора. В небольшой дождь прогулка не отменяется!

Запрещается:

 распитие Участниками алкогольных напитков и употребление наркотиков
 нахождение Участников в туре с любыми типами огнестрельного оружия
 употребление лекарственных препаратов, вызывающих сонливость, снижение быстроты реакции и нарушающие координацию движений
 самовольный сход с маршрута одного или нескольких участников тура, в том числе с предоставленным и/или арендованным снаряжением
 находиться участникам с противопоказаниями к активным видам спорта/туризма (заболевания, которые могут обостриться при высоких физических нагрузках). Беременным.

Приехать на место за 20 мин.

Продолжительность: 2 часа

Сложность: Легкая

Возраст: 14+ (до 18 лет в сопровождении родителей)

Прогулка состоится при наборе минимального количества участников (мин 5 чел.).",excursion,,,2026-07-17 06:00,2026-07-17 08:00,,"Набережная р. Мойки (рядом с Марсовым полем), Санкт-Петербург",,,3000,от 3000 ₽,False,12+,,https://sup-progulki-v-peterburge.timepad.ru/event/3921134/,timepad,2026-07-16 21:50:09
tp_4064187,Хатха-йога на набережной,Хатха-йога на набережной,"Хатха йога — это практика йоги, которая укрепляет наше тело и дух, учит слышать и понимать свои состояния, управлять энергией, а значит использовать возможности для экологичного достижения своих целей и задач.

Тренер: Екатерина Мельникова — дипломированный учитель кундалини и хатха-йоги.

Занятие проходит в удобной спортивной одежде, с собой необходимо взять коврик и воду. 

Вход на тренировку бесплатный, при желании можно оставить пожертвование в пользу благотворительной организации Тебе поверят.",theater,,,2026-07-17 09:00,2026-07-17 10:00,,"Кожевенная линия, 40Б, Санкт-Петербург",,,0,Бесплатно,True,12+,"https://ucare.timepad.ru/c09bc114-52c2-4fae-8b07-2fc59117186c/-/crop/2500x1407/0,463/-/resize/1920x1080/-/preview/308x600/-/format/jpeg/poster_event_4064187.jpg",https://sevkabel-port.timepad.ru/event/4064187/,timepad,2026-07-16 21:50:09
tp_4084883,XIV Международный Форум ИТ-ДИАЛОГ 2026,XIV Международный Форум ИТ-ДИАЛОГ 2026,"XIV Международный форум ИТ-ДИАЛОГ проходит на полях Петербургского цифрового форума. 

Организаторами мероприятия выступают Правительство Санкт-Петербурга и Аналитический центр при Правительстве Российской Федерации, при поддержке Министерства цифрового развития, связи и массовых коммуникаций РФ, Союза ИТ-директоров России, журнала «IT Manager». 

Форум станет одним из крупнейших событий в цифровой повестке страны. В рамках деловой программы пройдут тематические секции по цифровой трансформации промышленных предприятий, банков и финансовых организаций, предприятий сферы логистики и транспорта, учреждений сферы культуры, туристических компаний и предприятий сферы услуг, гостеприимства и других. Участие в форуме примут ИТ-директора ведущих предприятий страны. Вас ждёт насыщенная деловая повестка и яркая культурная программа.

Платное участие предусмотрено только для представителей ИТ-компаний. 

Доступны следующие виды участия:

VIP бейдж. Стоимость: 50 000 рублей

Обладатели VIP бейджа имеют право на посещение всех секций форума ИТ-Диалог 17 июля, а также доступ в VIP-зону, где отдыхают и обедают спикеры, эксперты и ключевые участники форума.

Бейдж делегата. Стоимость: 10 000 рублей

Участники с бейджем делегата имеют право на посещение всех секций форума ИТ-Диалог 17 июля, а также питание на общей площадке (два кофе-брейка и ланч).

Если ваша компания не относится к ИТ-бизнесу, вы можете принять участие БЕСПЛАТНО!

Для получения бесплатного билета на Форум (и бейджа делегата) необходимо пройти регистрацию на сайте мероприятия.",party,,,2026-07-17 09:00,2026-07-17 16:30,,"ул. Кораблестроителей, д.14, Санкт-Петербург",,,10000,от 10000 ₽,False,0+,"https://ucare.timepad.ru/5134cfe9-a9a1-4e5c-9854-fd3a1cf6728d/-/crop/4000x2247/0,0/-/resize/1920x1080/-/preview/308x600/-/format/jpeg/poster_event_4084883.jpg",https://club-it-dialog.timepad.ru/event/4084883/,timepad,2026-07-16 21:50:09
tp_3892617,Второй Общестроительный Слёт в Питере,Второй Общестроительный Слёт в Питере,"«Второй Общестроительный Всероссийский Слёт в Питере»

Дата мероприятия: 17 июля 2026г.

Время мероприятия: 09:30 17.07  по 18:00  17.07.2026г.;

Место проведения мероприятия: DAA EXPO 

Организаторы мероприятия: ИП Космынин А.Е. (Россия)

Контактное лицо и контактные данные (телефон, e-mail):
Космынин Алексей Евгеньевич slet.media2021@gmail.com

Второй Общестроительный Слёт в Питере — для мастеров и строителей. На одной площадке соберутся производители и специалисты в сфере ремонтно-отделочных работ, монтажники инженерных систем, проектировщики, дизайнеры среди которых профессионалы и начинающие мастера из разных регионов России.  В программе Слета конкурсы и мастер-классы от популярных блогеров-мастеров, конкурс на целый день в котором каждый сможет принять участие, а также обзор последних новинок и технологий от более чем 40 известных производителей оборудования и материалов для работы, презентация продукции.

Второй Общестроительный Слёт В Питере — один день крутого интенсива в профессиональной среде!",exhibition,,,2026-07-17 09:30,2026-07-17 18:00,,"Красногвардейская пл., 3, Санкт-Петербург",,,0,Бесплатно,True,12+,"https://ucare.timepad.ru/d0c35993-60bb-405e-8a2e-63198dd190b7/-/crop/4406x2480/869,0/-/resize/1920x1080/-/preview/308x600/-/format/jpeg/poster_event_3892617.jpg",https://slet-media-event.timepad.ru/event/3892617/,timepad,2026-07-16 21:50:09
tp_4070121,Мобильная квест-экскурсия «По следам Шерлока Холмса или таинственные сокровища Агры»,Мобильная квест-экскурсия «По следам Шерлока Холмса или таинственные сокровища Агры»,"Что это такое? Это уличная квест-экскурсия по Санкт-Петербургу в мобильном формате, которая проходит самостоятельно по городу, без ведущего. Это не просто список мест с описаниями, а продуманный маршрут с сюжетом и заданиями по Каменному острову, который позволяет взаимодействовать с городом.
Участники выполняют задания и погружаются в детективную историю: разгадывают тайну таинственных сокровищ Агры и загадочного дарителя жемчужин, каждый год присылающего вам необычный подарок в день рождения, и шаг за шагом приближаются к разгадке, кто и зачем это делает. По пути они узнают, какие секреты хранятся на улицах и аллеях Каменного острова и в его знаковых особняках, связанных с образом Шерлока Холмса и экранизациями знаменитых историй.
Экскурсия знакомит с атмосферой тихого острова в северной столице с его историческими дачами и особняками, рассказывает о местах съемок фильма «Приключения Шерлока Холмса и доктора Ватсона», а также показывает, как менялся этот район от дореволюционных загородных усадеб до современной городской среды. По пути участники увидят интересные примеры архитектуры, узнают новые факты о владельцах дач и их прошлом, убеждаясь, что история может оживать не в учебнике, а прямо на улицах города.
Длина маршрута: примерно 4 км по Каменному острову в Санкт-Петербурге.

Знаковые точки маршрута:

 Начало маршрута по Каменному острову, где участники погружаются в атмосферу «туманного Петербурга» и первых подсказок к тайне сокровищ.

 Особняк Фолленвейдера, дача Гаусвальд и цоколь усадьбы Гозе, сыгравший роль дома чучельника Шермана, — ключевые объекты, связанные с легендами, экранизациями и атмосферой детективной истории.

 Дача Салтыковой — одна из самых запоминающихся точек маршрута, где участники заглядывают внутрь и продолжают расследование.

Как принять участие в квест-экскурсии:

 Приобрести билет на данной странице.
 Установить мобильное приложение Ubego (App Store, Google Play). Скачать приложение: https://ubego.quest/ru/download
 С вами свяжется менеджер Ubego и зарегистрирует на квест.
 Запустить квест в приложении, подойти к точке старта и следовать заданиям и подсказкам на экране.
 Добавьте всех участников экскурсии в приложение через бесплатную функцию — так каждому будет удобно читать задания и отправлять свои ответы. Для этого необходимо всем участникам скачать приложение Ubego и зарегистрироваться; одному  участнику оплатить квест и нажать ""Начать"", а остальным выбрать в меню приложения опцию «Присоединиться к игре»,  ввести никнейм участника, оплатившего квест. 

Важная информация

 Экскурсия проходит в формате квест-экскурсии, в ходе которой участники последовательно выполняют серию интересных заданий в разных местах города.  В отличие от экскурсии с гидом, вы ни от кого не зависите. Вы можете сделать паузу, отклониться от маршрута или остановиться, чтобы перекусить.
 Расписание свободное: пройти можно в любое время после оплаты, запустив его в мобильном приложении Ubego.
 Для прохождения экскурсии нужен мобильный инте",excursion,,,2026-07-17 10:00,2026-07-17 12:00,,Санкт-Петербург,,,1200,от 1200 ₽,False,0+,,https://ubego-quest.timepad.ru/event/4070121/,timepad,2026-07-16 21:50:09
tp_4069941,Мобильная квест-экскурсия «Хранители Санкт-Петербурга»,Мобильная квест-экскурсия «Хранители Санкт-Петербурга»,"Что это такое?

Это уличная квест-экскурсия по Санкт-Петербургу в мобильном формате, которая проходит самостоятельно по городу, без ведущего. Это не просто список мест с описаниями, а продуманный маршрут с сюжетом и заданиями, который позволяет взаимодействовать с городом. 

Участники выполняют задания и погружаются в историю: разгадывают тайну загадочных львов-хранителей, которые оберегают улицы города, скрывая свои секреты от случайных прохожих. По легенде, когда‑то Петербург страдал от злодеев и разбойников, и лишь появление львов-хранителей помогло восстановить порядок и спокойствие, а теперь только самые смелые и находчивые смогут пройти по маршруту, найти всех львов и раскрыть их тайны. 

Экскурсия знакомит с атмосферой исторического центра и набережных Невы, где величественные здания соседствуют с парками и видами на воду. По пути вы побываете у Адмиралтейства, на стрелке Васильевского острова, в Александровском парке и других знаковых локациях, узнаете новые факты о городе и убедитесь, что история может оживать прямо на улицах, а привычные львы и скульптуры оказываются настоящими хранителями Петербурга. 

Длина маршрута: примерно 3 км по центру Санкт-Петербурга, от Адмиралтейской набережной до Александровского парка. 

Знаковые точки маршрута:

 Старт: Главное Адмиралтейство, Адмиралтейская набережная, 4, Санкт-Петербург — одна из самых узнаваемых доминант города и отправная точка поиска львов-хранителей. 

 Стрелка Васильевского острова и прилегающие набережные — панорамные виды, архитектурные ансамбли и скульптуры, среди которых прячутся загадочные львы. 

 Финиш: парк Александровский, 1, Санкт-Петербург — зелёное пространство рядом с Петропавловской крепостью, где завершается путешествие и участники становятся полноправными хранителями порядка и справедливости в городе. 

Как принять участие в квест-экскурсии:

 Приобрести билет на данной странице.
 Установить мобильное приложение Ubego (App Store, Google Play). Скачать приложение: https://ubego.quest/ru/download
 С вами свяжется менеджер Ubego и зарегистрирует на квест.
 Запустить квест в приложении, подойти к точке старта и следовать заданиям и подсказкам на экране.
 Добавьте всех участников экскурсии в приложение через бесплатную функцию — так каждому будет удобно читать задания и отправлять свои ответы. Для этого необходимо всем участникам скачать приложение Ubego и зарегистрироваться; одному  участнику оплатить квест и нажать ""Начать"", а остальным выбрать в меню приложения опцию «Присоединиться к игре»,  ввести никнейм участника, оплатившего квест. 

Важная информация

 Экскурсия проходит в формате квест-экскурсии, в ходе которой участники последовательно выполняют серию интересных заданий в разных местах города.  В отличие от экскурсии с гидом, вы ни от кого не зависите. Вы можете сделать паузу, отклониться от маршрута или остановиться, чтобы перекусить.
 Расписание свободное: пройти можно в любое время после оплаты, запустив его в мобильном приложении Ubego.
 Для прохождения экс",excursion,,,2026-07-17 10:00,2026-07-17 12:00,,Санкт-Петербург,,,1045,от 1045 ₽,False,6+,,https://ubego-quest.timepad.ru/event/4069941/,timepad,2026-07-16 21:50:09
tp_4069854,Мобильная квест-экскурсия «Тайны мистического острова»,Мобильная квест-экскурсия «Тайны мистического острова»,"Что это такое? Это уличная квест-экскурсия по Санкт-Петербургу в мобильном формате, которая проходит самостоятельно по городу, без ведущего. Это не просто список мест с описаниями, а продуманный маршрут по Васильевскому острову с детективным сюжетом и заданиями, который позволяет взаимодействовать с городом и его скрытыми деталями. Участники выполняют задания и погружаются в историю: разгадывают тайну мистических существ, которых хранитель Васильевского острова прячет на своей земле, проверяют свою внимательность и смекалку и ищут путь к древним существам, скрывающимся в потайных уголках города. По ходу игры они узнают, какие секреты хранятся в уютных старинных двориках и на улицах Васильевского острова, и как необычные арт-объекты «рассказывают» о прошлом.

Экскурсия знакомит с атмосферой старого петербургского острова с его узкими улочками, дворами и набережными, где до сих пор ощущается память прошедших веков. Она рассказывает о городе через неожиданные находки, легенды и исторические факты, а также показывает, как менялся этот район: от классического Петербурга с его строгой застройкой до современной городской среды с арт-объектами и креативными пространствами. По пути участники узнают новые факты о Васильевском острове, его архитектуре и прошлом, убеждаясь, что история может «оживать» не в учебнике, а прямо на улицах города. Длина маршрута: примерно 4,6 км по Васильевскому острову в Санкт-Петербурге.

Знаковые точки маршрута:  Уютные старинные дворики и арки Васильевского острова, где спрятаны арт-объекты и необычные детали, связанные с заданиями квеста.

Как принять участие в квест-экскурсии:

 Приобрести билет на данной странице.
 Установить мобильное приложение Ubego (App Store, Google Play). Скачать приложение: https://ubego.quest/ru/download
 С вами свяжется менеджер Ubego и зарегистрирует на квест.
 Запустить квест в приложении, подойти к точке старта и следовать заданиям и подсказкам на экране.
 Добавьте всех участников экскурсии в приложение через бесплатную функцию — так каждому будет удобно читать задания и отправлять свои ответы. Для этого необходимо всем участникам скачать приложение Ubego и зарегистрироваться; одному  участнику оплатить квест и нажать ""Начать"", а остальным выбрать в меню приложения опцию «Присоединиться к игре»,  ввести никнейм участника, оплатившего квест. 

Важная информация

 Экскурсия проходит в формате квест-экскурсии, в ходе которой участники последовательно выполняют серию интересных заданий в разных местах города.  В отличие от экскурсии с гидом, вы ни от кого не зависите. Вы можете сделать паузу, отклониться от маршрута или остановиться, чтобы перекусить.
 Расписание свободное: пройти можно в любое время после оплаты, запустив его в мобильном приложении Ubego.
 Для прохождения экскурсии нужен мобильный интернет.
 Стоимость указана за группу участников: вы платите за всю экскурсию, а не за человека. Собирайте друзей, погружайтесь в приключение вместе!
 Экскурсия подходит для самых разных компаний: для се",excursion,,,2026-07-17 10:00,2026-07-17 12:00,,Санкт-Петербург,,,990,от 990 ₽,False,12+,,https://ubego-quest.timepad.ru/event/4069854/,timepad,2026-07-16 21:50:09
tp_4069397,Мобильная квест-экскурсия «Зло Обводного канала»,Мобильная квест-экскурсия «Зло Обводного канала»,"Что это такое? Это уличная квест-экскурсия по Санкт‑Петербургу в мобильном формате, которая проходит самостоятельно по городу, без ведущего. Это не просто список мест с описаниями, а продуманный маршрут с сюжетом и заданиями, который позволяет взаимодействовать с городом.

Участники выполняют задания и погружаются в историю: разгадывают тайну мрачных легенд Обводного канала, которые всплывают из страниц найденного дневника. Однажды, помогая незнакомке, вы оказываетесь у полуразрушенного здания с этим дневником в руках и шаг за шагом узнаёте, почему рабочие не хотели рыть канал, что происходило здесь в давние времена, какой убийца орудовал в районе и связаны ли все эти истории между собой.

Экскурсия знакомит с атмосферой индустриального и одновременно мистического Петербурга вдоль Обводного канала. Следуя подсказкам дневника, вы посещаете вокзалы первого железнодорожного узла города, видите один из крупнейших планетариев мира, заглядываете на культовую петербургскую «заброшку» и узнаёте легенду о мосте самоубийц, убеждаясь, что городская история может быть не менее пугающей, чем вымысел.

Длина маршрута: примерно 5,3 км по району Обводного канала в Санкт‑Петербурге.

Как принять участие в квест-экскурсии:

 Приобрести билет на данной странице.

 Установить мобильное приложение Ubego (App Store, Google Play). Скачать приложение: https://ubego.quest/ru/download

 С вами свяжется менеджер Ubego и зарегистрирует на квест.

 Запустить квест в приложении, подойти к точке старта и следовать заданиям и подсказкам на экране.

 Добавьте всех участников экскурсии в приложение через бесплатную функцию — так каждому будет удобно читать задания и отправлять свои ответы. Для этого необходимо всем участникам скачать приложение Ubego и зарегестрироваться; одному  участнику оплатить квест и нажать ""Начать"", а остальным выбрать в меню приложения опцию «Присоединиться к игре»,  ввести никнейм участника, оплатившего квест. 

Важная информация

 Экскурсия проходит в формате квест-экскурсии, в ходе которой участники последовательно выполняют серию интересных заданий в разных местах города.  В отличие от экскурсии с гидом, вы ни от кого не зависите. Вы можете сделать паузу, отклониться от маршрута или остановиться, чтобы перекусить.

 Расписание свободное: пройти можно в любое время после оплаты, запустив его в мобильном приложении Ubego.

 Для прохождения экскурсии нужен мобильный интернет.

 Стоимость указана за группу участников: вы платите за всю экскурсию, а не за человека. Собирайте друзей, погружайтесь в приключение вместе!",other,,,2026-07-17 10:00,2026-07-17 12:00,,"набережная Обводного канала, 136, Санкт-Петербург",,,1170,от 1170 ₽,False,12+,,https://ubego-quest.timepad.ru/event/4069397/,timepad,2026-07-16 21:50:09
